pointid,deb thickness,Lat,Long,Easting,Northing,MF
1,0.0982823,60.83005492,-138.60323,27772.69361,6743966.429,1.19774
2,0.0386864,60.82916412,-138.6050833,27672.69361,6743866.429,2.04458
3,0.0622565,60.82915714,-138.6032443,27772.69361,6743866.429,1.59779
4,0.232547,60.82914312,-138.5995664,27972.69361,6743866.429,0.619583
5,0.0326817,60.82828022,-138.6087754,27472.69361,6743766.429,2.2014101
6,0.0423842,60.82827329,-138.6069365,27572.69361,6743766.429,1.95866
7,0.0393033,60.82826634,-138.6050976,27672.69361,6743766.429,2.0297301
8,0.0539448,60.82825936,-138.6032587,27772.69361,6743766.429,1.7312
9,0.189259,60.82824534,-138.5995808,27972.69361,6743766.429,0.73378
10,0.0690725,60.82738244,-138.6087896,27472.69361,6743666.429,1.50282
11,0.0870853,60.82737551,-138.6069507,27572.69361,6743666.429,1.29881
12,0.0714519,60.82736856,-138.6051118,27672.69361,6743666.429,1.47227
13,0.0951365,60.82735459,-138.6014341,27872.69361,6743666.429,1.22451
14,0.042819,60.82649156,-138.6106426,27372.69361,6743566.429,1.94903
15,0.116623,60.82648466,-138.6088037,27472.69361,6743566.429,1.06233
16,0.119052,60.82647773,-138.6069649,27572.69361,6743566.429,1.0466501
17,0.105542,60.82647078,-138.6051261,27672.69361,6743566.429,1.14021
18,0.0769245,60.82646381,-138.6032873,27772.69361,6743566.429,1.40652
19,0.0824679,60.82645681,-138.6014485,27872.69361,6743566.429,1.3456399
20,0.0278423,60.82560065,-138.6124954,27272.69361,6743466.429,2.2681601
21,0.063226,60.82559378,-138.6106567,27372.69361,6743466.429,1.58356
22,0.123205,60.82558688,-138.6088179,27472.69361,6743466.429,1.0209
23,0.127521,60.82557995,-138.6069791,27572.69361,6743466.429,0.995453
24,0.120562,60.825573,-138.6051404,27672.69361,6743466.429,1.03714
25,0.0794442,60.82556603,-138.6033016,27772.69361,6743466.429,1.37817
26,0.0966574,60.82555903,-138.6014628,27872.69361,6743466.429,1.2114201
27,0.0298758,60.82470972,-138.6143482,27172.69361,6743366.429,2.2681601
28,0.062748,60.824696,-138.6106708,27372.69361,6743366.429,1.5905401
29,0.0985931,60.8246891,-138.608832,27472.69361,6743366.429,1.19516
30,0.123011,60.82468218,-138.6069933,27572.69361,6743366.429,1.0220799
