bin_center_elev_m,z1_bin_count_valid,z1_bin_area_valid_km2,dhdt_bin_count,dhdt_bin_mean_ma,dhdt_bin_std_ma,dhdt_bin_med_ma,dhdt_bin_mad_ma,mb_bin_mean_mwea,mb_bin_std_mwea,mb_bin_med_mwea,mb_bin_mad_mwea,dc_dhdt_bin_count,dc_dhdt_bin_mean_ma,dc_dhdt_bin_std_ma,dc_dhdt_bin_med_ma,dc_dhdt_bin_mad_ma,dc_mb_bin_mean_mwea,dc_mb_bin_std_mwea,dc_mb_bin_med_mwea,dc_mb_bin_mad_mwea,dc_bin_count_valid,dc_bin_area_valid_km2,ts_mean,ts_std,ts_med,ts_mad,dc_ts_mean,dc_ts_std,dc_ts_med,dc_ts_mad,vm_med,vm_mad,H_mean,H_std,emvel_mean,emvel_std,emvel_med,emvel_mad,hd_ts_mean_m,hd_ts_std_m,hd_ts_med_m,hd_ts_mad_m,mf_ts_mean,mf_ts_std,mf_ts_med,mf_ts_mad
775.0,7.0,0.07,7.0,-2.4499478,0.7991258000000001,-2.1676664,0.28255656,-2.2049529999999997,0.7192132,-1.9508998,0.25430083,3.0,-2.125164,0.49528584,-2.1676664,0.80316526,-1.9126478,0.4457573,-1.9508998,0.7228486999999999,3.0,0.03,26.523046,1.2136562,27.290478000000004,0.26451853,26.523046,1.2136562,27.290478000000004,0.26451853,1.7507796000000002,1.0030491,67.41122,27.374975,-0.35360742,0.20658962,-0.36350384,0.24818961,0.8167390999999999,0.2380562,0.95781434,0.07874443,0.22061066,0.07528708,0.17175004,0.0128007475
785.0,13.0,0.13,13.0,-2.2156522,0.80671287,-2.1262262,0.60063714,-1.9940871,0.72604156,-1.9136035,0.54057336,6.0,-2.335844,1.0788418,-2.223044,1.7009808999999998,-2.1022594,0.97095764,-2.0007396,1.5308828,6.0,0.06,24.74045,2.8156154,25.938137,2.1777298,24.74045,2.8156154,25.938137,2.1777298,1.7547843,0.7379133000000001,69.1795,33.665283,-0.50246406,0.43866965,-0.37851584,0.56118697,0.6116993000000001,0.33412457,0.65294003,0.5062193,0.38572875,0.2569088,0.24830356,0.12162562
795.0,24.0,0.24,24.0,-2.0999167,1.3112665000000001,-2.1235824,1.8073417,-1.889925,1.1801399,-1.9112241,1.6266073,14.0,-1.2944314,0.9965138000000001,-0.99768436,0.94350106,-1.1649882,0.8968624,-0.89791596,0.84915096,14.0,0.14,24.801657000000002,1.5001358999999999,24.537167,0.95793337,24.801657000000002,1.5001358999999999,24.537167,0.95793337,1.5881515,1.2872353,77.25309,37.86325,-0.4385423,0.34673452,-0.3743449,0.45848727,0.54724056,0.33477017,0.44900957,0.109874584,0.34090927,0.09782616,0.34851313,0.07336286
805.0,99.0,0.99,99.0,-1.5877133999999997,1.1127983,-1.124608,0.8315339,-1.4289418,1.0015185,-1.0121472,0.7483805,71.0,-1.329315,0.84950614,-1.0678152,0.7473328,-1.1963834999999998,0.7645555,-0.9610337,0.6725996,71.0,0.71,15.442197,6.488734,16.308138,10.507729,15.442197,6.488734,16.308138,10.507729,37.368454,49.942406,143.86676,73.787125,-6.2999735,9.252852,-1.1300908,2.569506,0.13525179,0.1534205,0.06714337,0.088084385,1.2156415,0.5981829000000001,1.3453898000000002,0.6217614
815.0,180.0,1.8,180.0,-1.6885893,0.9407402,-1.465075,0.62474316,-1.5197303,0.84666616,-1.3185675,0.56226885,150.0,-1.569749,0.83101505,-1.4505808,0.61878115,-1.4127742,0.74791354,-1.3055226999999998,0.5569029000000001,150.0,1.5,15.719729000000001,5.656699,14.473375,6.843986500000001,15.719729000000001,5.656699,14.473375,6.843986500000001,27.571644,36.662926,203.99911,93.81564,-5.176591999999999,9.170194,-1.1559985000000002,5.0293636,0.13069434,0.17018916,0.04418891,0.050267305,1.418654,0.6856146,1.5839021999999998,0.84423375
825.0,223.0,2.23,223.0,-1.9805437,0.94697887,-1.7156818999999999,0.9599327,-1.7824891999999999,0.852281,-1.5441138,0.8639394,188.0,-1.9294918,0.92247397,-1.6812406000000002,0.9718906999999999,-1.7365426,0.8302265999999999,-1.5131165000000002,0.8747016,188.0,1.88,17.635872,5.173247,18.047348,5.9096402999999995,17.635872,5.173247,18.047348,5.9096402999999995,12.977851,15.591134,236.35213,88.1592,-1.5808594999999999,12.218005,-0.39018756,3.6037152000000003,0.16255182,0.17407598,0.09904082,0.11160648599999999,1.1889433999999999,0.6254833000000001,1.1828227,0.8022794
835.0,194.0,1.94,194.0,-1.6934977,0.8595538,-1.6633878,0.97596616,-1.5241476999999999,0.77359843,-1.4970489,0.87836975,168.0,-1.7552629000000002,0.89029706,-1.7765418000000002,1.0500615,-1.5797364999999999,0.8012674,-1.5988877000000001,0.94505525,168.0,1.68,18.717968,4.696326999999999,19.865988,5.0898376,18.717968,4.696326999999999,19.865988,5.0898376,15.658498999999999,18.850804999999998,294.29483,72.63237,2.2312162,12.000183999999999,0.8480957,5.9332356,0.18795075,0.20420721,0.14893976,0.15101118,1.0833734,0.6087853,0.8875309000000001,0.7054725000000001
845.0,135.0,1.35,135.0,-1.6769283,0.77971774,-1.7615258000000003,0.8979575999999999,-1.5092353,0.701746,-1.5853732,0.80816203,112.0,-1.7861983000000001,0.79401875,-1.8473123,0.8730571,-1.6075784,0.7146169,-1.6625811000000001,0.7857513,112.0,1.12,19.63803,5.268278,21.63861,2.8240682999999995,19.63803,5.268278,21.63861,2.8240682999999995,11.581678,13.340345999999998,320.13153,65.42699,0.22653560000000003,10.667036,0.35924079999999997,7.333471,0.22457115,0.16025254,0.22272131,0.15648055,0.85937756,0.5293281999999999,0.64239454,0.35416420000000004
855.0,124.0,1.24,124.0,-1.6558471000000001,0.77765,-1.6452892,0.93757606,-1.4902624,0.6998850000000001,-1.4807603,0.84381855,109.0,-1.7186767,0.78931916,-1.7256453999999999,0.82685596,-1.546809,0.71038723,-1.5530808999999999,0.74417007,109.0,1.09,19.47128,5.85046,21.896767,3.3372414,19.47128,5.85046,21.896767,3.3372414,12.419634,14.740075,326.7432,71.47041,1.2385339,11.402307,0.55319434,5.9304194,0.23856616,0.171674,0.23645234,0.22027762,0.8715408000000001,0.60718805,0.6110039,0.38194406
865.0,84.0,0.84,84.0,-1.5731633999999999,0.8549338,-1.5511386,0.8048031,-1.4158469999999999,0.7694404,-1.3960248,0.72432274,73.0,-1.6350383,0.8913379000000001,-1.6904143,0.7678524999999999,-1.4715344,0.80220413,-1.5213729,0.6910674,73.0,0.73,19.814660999999997,5.191731,21.982313,3.0501566,19.814660999999997,5.191731,21.982313,3.0501566,18.95699,24.002522,329.88217000000003,89.68075,-0.26612848,14.169351,0.79888284,8.757036,0.2372157,0.1659682,0.24121875,0.19937237,0.9134304,0.6547165,0.6008503000000001,0.36452168
875.0,89.0,0.89,89.0,-1.3263065,0.9230664000000001,-1.2442212,0.6780674,-1.1936759,0.83075976,-1.119799,0.6102605999999999,72.0,-1.3845315,1.010865,-1.3263249,0.9557671,-1.2460784,0.90977854,-1.1936924,0.8601904,72.0,0.72,18.630516,5.142568,20.521603,4.146486,18.630516,5.142568,20.521603,4.146486,33.46884,35.614124,371.22815,88.00757,0.69869536,17.373238,3.6428203999999997,12.000926,0.18045086,0.13295265,0.17245638,0.17574981,1.0391643,0.6255233,0.79055136,0.4977287
885.0,126.0,1.26,126.0,-1.3017739,0.62018836,-1.1463356000000002,0.29829592,-1.1715964,0.5581695,-1.0317021999999998,0.2684665,99.0,-1.3509132,0.6849154000000001,-1.1875476,0.39558488,-1.2158219,0.6164239,-1.0687928,0.35602638,99.0,0.99,17.062307,6.252512,19.487714999999998,4.510710700000001,17.062307,6.252512,19.487714999999998,4.510710700000001,53.926933,36.85794,394.09854,80.00277,-1.0341309,18.434829999999998,4.767633,10.617703,0.15008622,0.119820595,0.13658416,0.16840792,1.0284735999999999,0.51553273,0.9459331,0.5258833
895.0,112.0,1.12,112.0,-1.3671753,0.6747806,-1.1620442,0.37938982,-1.2304579,0.60730255,-1.0458398000000002,0.34145084,70.0,-1.5982431000000001,0.7514738000000001,-1.4125347,0.58204985,-1.4384187,0.6763264,-1.2712812,0.5238449000000001,70.0,0.7,18.649836999999998,5.371653,20.554464000000003,3.2807355000000005,18.649836999999998,5.371653,20.554464000000003,3.2807355000000005,65.704254,33.77625,404.55078,71.116425,-8.074397,19.797058,-4.220253,22.872177,0.1792609,0.11967281,0.17370388,0.14700311,0.95236427,0.5303772,0.7858255000000001,0.4046896
