OID,OID_,RASTERVALU,POINT_X,POINT_Y,BL_fluxes,b1_debrism,b2_debrism,b3_debrism
-1,-1,815.915588379000040,630082.842900000050000,6746185.565800000000000,0,0,0,0
-1,-1,819.277343750000000,630282.842900000050000,6746185.565800000000000,0,0,0,0
-1,-1,817.130981444999970,630482.842900000050000,6746185.565800000000000,0,0,0,0
-1,-1,817.571533202999940,629882.842900000050000,6745785.565800000000000,0,255,255,255
-1,-1,822.556762694999970,630082.842900000050000,6745785.565800000000000,0,251,251,251
-1,-1,823.334594726999970,630282.842900000050000,6745785.565800000000000,0,0,0,0
-1,-1,817.068664550999980,629882.842900000050000,6745985.565800000000000,0,255,255,255
-1,-1,825.791503906000000,630082.842900000050000,6745985.565800000000000,0,247,247,247
-1,-1,819.059387206999990,630282.842900000050000,6745985.565800000000000,0,0,0,0
-1,-1,818.683288574000020,630482.842900000050000,6745985.565800000000000,0,0,0,0
-1,-1,3097.689697270000100,568682.842900000050000,6745385.565800000000000,1,0,0,0
-1,-1,3088.614746090000200,568882.842900000050000,6745385.565800000000000,1,0,0,0
-1,-1,3164.326660159999800,569082.842900000050000,6745385.565800000000000,1,0,0,0
-1,-1,823.072082519999980,629682.842900000050000,6745385.565800000000000,0,255,255,255
-1,-1,824.728454589999960,629882.842900000050000,6745385.565800000000000,0,255,255,255
-1,-1,822.289062500000000,630082.842900000050000,6745385.565800000000000,0,252,252,252
-1,-1,823.498718262000010,630282.842900000050000,6745385.565800000000000,0,0,0,0
-1,-1,831.318664550999980,630482.842900000050000,6745385.565800000000000,0,0,0,0
-1,-1,3155.617187500000000,568682.842900000050000,6745585.565800000000000,1,0,0,0
-1,-1,3161.844970700000000,568882.842900000050000,6745585.565800000000000,1,0,0,0
-1,-1,818.537048339999960,629682.842900000050000,6745585.565800000000000,0,255,255,255
-1,-1,822.749267577999940,629882.842900000050000,6745585.565800000000000,0,254,254,254
-1,-1,822.864196776999960,630082.842900000050000,6745585.565800000000000,0,255,255,255
-1,-1,827.903808594000000,630282.842900000050000,6745585.565800000000000,0,0,0,0
-1,-1,822.404724120999960,630482.842900000050000,6745585.565800000000000,0,0,0,0
-1,-1,3063.859130859999800,568682.842900000050000,6745185.565800000000000,1,0,0,0
-1,-1,3050.179199220000100,568882.842900000050000,6745185.565800000000000,1,0,0,0
-1,-1,3092.160400390000200,569082.842900000050000,6745185.565800000000000,1,0,0,0
-1,-1,819.910766601999970,629482.842900000050000,6745185.565800000000000,0,255,255,255
-1,-1,828.873352050999980,629682.842900000050000,6745185.565800000000000,0,255,255,255
-1,-1,832.682861327999940,629882.842900000050000,6745185.565800000000000,0,255,255,255
-1,-1,828.826782226999970,630082.842900000050000,6745185.565800000000000,0,253,253,253
-1,-1,823.795227050999980,630282.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,817.659179687999990,630482.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,831.975402831999990,630682.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,824.027709961000030,630882.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,758.853576660000040,631682.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,758.664489745999960,631882.842900000050000,6745185.565800000000000,0,0,0,0
-1,-1,3106.161865229999900,568282.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3114.750000000000000,568482.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3029.193847659999800,568682.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3022.001464840000200,568882.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3017.807373050000000,569082.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3109.708984379999900,569482.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,3186.868652340000200,569682.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2969.753906250000000,570282.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2906.480712890000200,570482.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2868.436523440000200,570682.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2862.479980470000100,570882.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2855.121093750000000,571082.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,2843.882080079999900,571282.842900000050000,6744785.565800000000000,1,0,0,0
-1,-1,821.755432129000040,628482.842900000050000,6744785.565800000000000,0,1,1,1
-1,-1,821.095764160000040,628682.842900000050000,6744785.565800000000000,0,251,251,251
-1,-1,828.028259276999960,628882.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,828.893005370999960,629082.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,831.350769043000010,629282.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,832.064147949000020,629482.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,838.040222168000010,629682.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,841.653015137000010,629882.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,842.823730469000000,630082.842900000050000,6744785.565800000000000,0,253,253,253
-1,-1,832.834777831999990,630282.842900000050000,6744785.565800000000000,0,252,252,252
-1,-1,833.160461425999980,630482.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,845.783691406000000,630682.842900000050000,6744785.565800000000000,0,253,253,253
-1,-1,821.752685547000060,630882.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,804.497070312999990,631082.842900000050000,6744785.565800000000000,0,255,255,255
-1,-1,822.531372069999970,631282.842900000050000,6744785.565800000000000,0,4,4,4
-1,-1,820.135375976999970,631482.842900000050000,6744785.565800000000000,0,0,0,0
-1,-1,789.638183594000000,631682.842900000050000,6744785.565800000000000,0,45,45,45
-1,-1,804.223144531000000,631882.842900000050000,6744785.565800000000000,0,0,0,0
-1,-1,806.482727050999980,632082.842900000050000,6744785.565800000000000,0,0,0,0
-1,-1,813.274536132999970,632282.842900000050000,6744785.565800000000000,0,0,0,0
-1,-1,773.275268555000030,632482.842900000050000,6744785.565800000000000,0,0,0,0
-1,-1,3103.272949220000100,568282.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3126.755615229999900,568482.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3043.418212890000200,568682.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3035.651123050000000,568882.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3049.287841800000000,569082.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3303.481201170000100,569682.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,3304.799316409999800,569882.842900000050000,6744985.565800000000000,1,0,0,0
-1,-1,818.639831543000010,628682.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,818.329101562999990,628882.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,833.686096191000050,629082.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,824.509399413999970,629282.842900000050000,6744985.565800000000000,0,255,255,255
-1,-1,827.743591308999950,629482.842900000050000,6744985.565800000000000,0,255,255,255
-1,-1,832.980102538999970,629682.842900000050000,6744985.565800000000000,0,255,255,255
-1,-1,832.929870605000020,629882.842900000050000,6744985.565800000000000,0,255,255,255
-1,-1,837.569213867000030,630082.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,826.714477538999970,630282.842900000050000,6744985.565800000000000,0,255,255,255
-1,-1,832.493164062999990,630482.842900000050000,6744985.565800000000000,0,28,28,28
-1,-1,824.612915038999970,630682.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,809.470703125000000,630882.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,790.152587891000050,631082.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,794.571533202999940,631282.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,799.734985351999970,631482.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,753.341247558999950,631682.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,764.911743163999970,631882.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,775.254516601999970,632082.842900000050000,6744985.565800000000000,0,0,0,0
-1,-1,3128.588867190000200,568282.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,3136.948974609999800,568482.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,3023.989746090000200,568682.842900000050000,6744585.565800000000000,1,0,0,0
